,X209016_s_at,X209351_at,X201525_at,X202376_at,X204653_at,X209604_s_at,X202286_s_at,X209343_at,X201909_at,X211798_x_at,X217157_x_at,X206286_s_at,X204470_at,X207850_at,X215108_x_at,X204351_at,X201884_at,X202831_at,X202859_x_at,X212942_s_at,X201496_x_at,X203691_at,X213953_at
X209016_s_at,1.0,0.44062440207052844,0.33334153752714885,0.09185928695036881,0.23133251573891592,0.18170891243654888,0.5541566440444041,0.49857735644594614,-0.13460293208814297,-0.07368717982778822,-0.0819999987192877,-0.2282167233048075,-0.23683211288810757,-0.24079208281697329,-0.20208877584407187,-0.25493396793310075,-0.26381450441382615,-0.2675603227699186,-0.27225779066552397,-0.1743001159559231,-0.13843247976771803,-0.19664730570631872,-0.19975527914306057
X209351_at,0.44062440207052844,1.0,-0.021581033805361548,-0.04527020167955363,0.07489983900996866,-0.1192722575738245,0.2590606047720897,0.06716332692629573,-0.09536187349451165,-0.07460788293883829,-0.07286094972521569,-0.1255923163265077,-0.13769327927455444,-0.13669842243234184,-0.164796883144735,-0.07206190395082303,-0.15666892057448736,-0.15343671714939552,-0.16821694267348491,-0.13074820560817135,-0.08117410224634053,-0.08259832859955006,-0.11274804864530283
X201525_at,0.33334153752714885,-0.021581033805361548,1.0,0.29014850454474017,0.22076707602504972,0.26344127582471827,0.44878484499205046,0.4224085842567994,0.35163575364408334,0.44020681585388244,0.38375703947307893,-0.14015024128618597,-0.07667467346896696,-0.15081728725031301,0.07768573387216413,-0.04254532512337992,0.04385449816536997,-0.017361059246656728,0.030455076084830748,0.17060870644183831,0.07685941568126392,-0.09769815435576412,-0.06951866420337209
X202376_at,0.09185928695036881,-0.04527020167955363,0.29014850454474017,1.0,0.5460389122599304,0.4394126637841821,0.2837161848974914,0.42081892717868313,-0.07662695198947683,-0.015285064297149034,-0.027381475047378652,-0.18966524421256423,-0.18109002318470413,-0.20520402860483455,-0.06243149151075356,-0.16306715534569216,-0.11155172332265285,-0.12120467595318164,-0.15677928583280326,-0.09665381196240008,-0.06708812405086247,-0.055069615023358345,-0.04147070573551948
X204653_at,0.23133251573891592,0.07489983900996866,0.22076707602504972,0.5460389122599304,1.0,0.7633988075662071,0.6153266611517451,0.6668567148582307,-0.16535174031790867,-0.053374046289790165,-0.04969493381964517,-0.25384954215320266,-0.24831951808602665,-0.26319375051723976,-0.10279406497123632,-0.3241629758673361,-0.2727361086700419,-0.28564640821385406,-0.2980312945379092,-0.18033661674497675,-0.14165640870202442,-0.1808993514403172,-0.2115257477181019
X209604_s_at,0.18170891243654888,-0.1192722575738245,0.26344127582471827,0.4394126637841821,0.7633988075662071,1.0,0.6095976833501678,0.6985943990170456,-0.13884782234258783,-0.023272795054926926,-0.01961013552109279,-0.2546922344703428,-0.263395043074058,-0.2752993494707304,-0.08190097513786597,-0.31868288736212724,-0.26353400045637015,-0.2818042708775734,-0.31691909218682646,-0.19799574157120764,-0.1325846242195362,-0.20498560511805797,-0.21007176308488976
X202286_s_at,0.5541566440444041,0.2590606047720897,0.44878484499205046,0.2837161848974914,0.6153266611517451,0.6095976833501678,1.0,0.7206328730167737,-0.08150958011796106,0.00745842818340697,-0.026540424700268593,-0.2873794861353435,-0.27430424210369514,-0.3057555664487236,-0.114442880873668,-0.2992937801557441,-0.2703034506431081,-0.31036139370785376,-0.30176608937901706,-0.17667930995818082,-0.15450945921705864,-0.24880424808016252,-0.25629085314396555
X209343_at,0.49857735644594614,0.06716332692629573,0.4224085842567994,0.42081892717868313,0.6668567148582307,0.6985943990170456,0.7206328730167737,1.0,0.08125365980422626,0.23957331151851613,0.22416166996484582,-0.2288273685029386,-0.180701608257972,-0.24465443619263985,0.03667138147911924,-0.1819095121138036,-0.10221299857377303,-0.1436524018570751,-0.16950205959706438,0.0457047597837463,-0.01802140470267965,-0.1284865355298257,-0.11011370127087718
X201909_at,-0.13460293208814297,-0.09536187349451165,0.35163575364408334,-0.07662695198947683,-0.16535174031790867,-0.13884782234258783,-0.08150958011796106,0.08125365980422626,1.0,0.8707986576023832,0.7688510347833278,0.10740422374548012,0.20612830291399653,0.07118238481514184,0.3560609757191509,0.31868421569237404,0.409096531409552,0.2854479042821786,0.43005572509233436,0.6531167253834188,0.20936429523793998,-0.04682225652237712,0.07486631647824943
X211798_x_at,-0.07368717982778822,-0.07460788293883829,0.44020681585388244,-0.015285064297149034,-0.053374046289790165,-0.023272795054926926,0.00745842818340697,0.23957331151851613,0.8707986576023832,1.0,0.947064746761998,0.1510624048660622,0.3261859472053455,0.1848441970780325,0.4277286649095808,0.3896468739419551,0.5127897717732747,0.4051004470940369,0.5188001728501775,0.7476848149343679,0.36769790176186673,0.11829568394167683,0.16653609593035457
X217157_x_at,-0.0819999987192877,-0.07286094972521569,0.38375703947307893,-0.027381475047378652,-0.04969493381964517,-0.01961013552109279,-0.026540424700268593,0.22416166996484582,0.7688510347833278,0.947064746761998,1.0,0.14195420037651665,0.3045730358517197,0.1706492183479865,0.4161456768059257,0.37844880823904614,0.4960259398821694,0.40109193162557266,0.47716850257376375,0.6877633837784038,0.3559638401007495,0.15297321669407046,0.20071586350855602
X206286_s_at,-0.2282167233048075,-0.1255923163265077,-0.14015024128618597,-0.18966524421256423,-0.25384954215320266,-0.2546922344703428,-0.2873794861353435,-0.2288273685029386,0.10740422374548012,0.1510624048660622,0.14195420037651665,1.0,0.786740450183322,0.8264000150604681,0.6863293388595683,0.5429749247267273,0.6444759730049984,0.6722112353546308,0.4285993363503288,0.5610827426999928,0.15572209443065135,0.24391407158389936,0.3793363609030446
X204470_at,-0.23683211288810757,-0.13769327927455444,-0.07667467346896696,-0.18109002318470413,-0.24831951808602665,-0.263395043074058,-0.27430424210369514,-0.180701608257972,0.20612830291399653,0.3261859472053455,0.3045730358517197,0.786740450183322,1.0,0.9036888455722207,0.6473303029904655,0.6639184496057478,0.7246135087844725,0.7315628181854589,0.6600174204354454,0.670138605702697,0.3792844521547745,0.4859082508254632,0.45068580959650273
X207850_at,-0.24079208281697329,-0.13669842243234184,-0.15081728725031301,-0.20520402860483455,-0.26319375051723976,-0.2752993494707304,-0.3057555664487236,-0.24465443619263985,0.07118238481514184,0.1848441970780325,0.1706492183479865,0.8264000150604681,0.9036888455722207,1.0,0.5373359492089299,0.5834718549870948,0.5957986941461159,0.6440021795779101,0.6634023923051692,0.5580840789852177,0.24676850354077584,0.4215314177786417,0.34906948128928145
X215108_x_at,-0.20208877584407187,-0.164796883144735,0.07768573387216413,-0.06243149151075356,-0.10279406497123632,-0.08190097513786597,-0.114442880873668,0.03667138147911924,0.3560609757191509,0.4277286649095808,0.4161456768059257,0.6863293388595683,0.6473303029904655,0.5373359492089299,1.0,0.7626738970292801,0.926600592718337,0.9048179775560761,0.5392156874418801,0.7982295623992166,0.2883002732490687,0.591369961380162,0.8003392667473355
X204351_at,-0.25493396793310075,-0.07206190395082303,-0.04254532512337992,-0.16306715534569216,-0.3241629758673361,-0.31868288736212724,-0.2992937801557441,-0.1819095121138036,0.31868421569237404,0.3896468739419551,0.37844880823904614,0.5429749247267273,0.6639184496057478,0.5834718549870948,0.7626738970292801,1.0,0.8897395497318024,0.8887374042050026,0.7165669939833259,0.7540064196989957,0.46493081559605226,0.7104872989757525,0.7921085373472536
X201884_at,-0.26381450441382615,-0.15666892057448736,0.04385449816536997,-0.11155172332265285,-0.2727361086700419,-0.26353400045637015,-0.2703034506431081,-0.10221299857377303,0.409096531409552,0.5127897717732747,0.4960259398821694,0.6444759730049984,0.7246135087844725,0.5957986941461159,0.926600592718337,0.8897395497318024,1.0,0.9774422488431602,0.6857091965222942,0.873566231219765,0.4603343227303154,0.6999142836377877,0.8500999491899458
X202831_at,-0.2675603227699186,-0.15343671714939552,-0.017361059246656728,-0.12120467595318164,-0.28564640821385406,-0.2818042708775734,-0.31036139370785376,-0.1436524018570751,0.2854479042821786,0.4051004470940369,0.40109193162557266,0.6722112353546308,0.7315628181854589,0.6440021795779101,0.9048179775560761,0.8887374042050026,0.9774422488431602,1.0,0.6606201982578886,0.8253518741292648,0.4259086232970298,0.7342328903290483,0.8650766643910119
X202859_x_at,-0.27225779066552397,-0.16821694267348491,0.030455076084830748,-0.15677928583280326,-0.2980312945379092,-0.31691909218682646,-0.30176608937901706,-0.16950205959706438,0.43005572509233436,0.5188001728501775,0.47716850257376375,0.4285993363503288,0.6600174204354454,0.6634023923051692,0.5392156874418801,0.7165669939833259,0.6857091965222942,0.6606201982578886,1.0,0.7234517182386315,0.39403348091105334,0.5914182181734311,0.508753573828153
X212942_s_at,-0.1743001159559231,-0.13074820560817135,0.17060870644183831,-0.09665381196240008,-0.18033661674497675,-0.19799574157120764,-0.17667930995818082,0.0457047597837463,0.6531167253834188,0.7476848149343679,0.6877633837784038,0.5610827426999928,0.670138605702697,0.5580840789852177,0.7982295623992166,0.7540064196989957,0.873566231219765,0.8253518741292648,0.7234517182386315,1.0,0.38170960612811594,0.4458320338537357,0.6087888266817174
X201496_x_at,-0.13843247976771803,-0.08117410224634053,0.07685941568126392,-0.06708812405086247,-0.14165640870202442,-0.1325846242195362,-0.15450945921705864,-0.01802140470267965,0.20936429523793998,0.36769790176186673,0.3559638401007495,0.15572209443065135,0.3792844521547745,0.24676850354077584,0.2883002732490687,0.46493081559605226,0.4603343227303154,0.4259086232970298,0.39403348091105334,0.38170960612811594,1.0,0.4263261793368555,0.3229637094565476
X203691_at,-0.19664730570631872,-0.08259832859955006,-0.09769815435576412,-0.055069615023358345,-0.1808993514403172,-0.20498560511805797,-0.24880424808016252,-0.1284865355298257,-0.04682225652237712,0.11829568394167683,0.15297321669407046,0.24391407158389936,0.4859082508254632,0.4215314177786417,0.591369961380162,0.7104872989757525,0.6999142836377877,0.7342328903290483,0.5914182181734311,0.4458320338537357,0.4263261793368555,1.0,0.8300461718392675
X213953_at,-0.19975527914306057,-0.11274804864530283,-0.06951866420337209,-0.04147070573551948,-0.2115257477181019,-0.21007176308488976,-0.25629085314396555,-0.11011370127087718,0.07486631647824943,0.16653609593035457,0.20071586350855602,0.3793363609030446,0.45068580959650273,0.34906948128928145,0.8003392667473355,0.7921085373472536,0.8500999491899458,0.8650766643910119,0.508753573828153,0.6087888266817174,0.3229637094565476,0.8300461718392675,1.0
